x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50
-20.0,0.8334691207920899,0.1665309758554849,82.57456857302499,29.247350918724003,82.57456857302499,0.8334691207920899,0.70404098211225,0.7240637742411968,0.6661239034219396,333.38761179902497,400.0,3364.0,2025.0,400.0,169.0,160000.0,160000.0,640000.0,168100.0,83521.0,64000000.0,64000000.0,64000000.0,256000000.0,575760025.0,34012224.0,113379904.0,64320400.0,57760000.0,77352025.0,400.0,20.000000402496,404.99992765210004,0.55713430724449,100.0,10000.0,400.0,1.7451131273452898,159270.48944118488,809265.58654561,1636.726288512676,1616.3648323216,8.974412013263288,6.944445555555599e-05,168.889050215824,28.07216727114276,28.07216727114276,0.034699597599758394,0.8334691207920899,0.15748960502016002
-19.9,0.75280628426481,0.24719371972164,83.39992611073599,30.21905062028449,83.39992611073599,0.75280628426481,0.74859284319876,0.0283982084725824,0.98877487888656,298.11879625768904,396.00999999999993,3329.2900000000004,2007.0399999999997,396.00999999999993,167.7025,156823.9201,156823.9201,627295.6804,164844.1201,81573.0721,62103840.598801,62103840.598801,62103840.598801,248415362.395204,558698172.4192089,32894113.444920998,110322650.96468101,62417884.449001,56019072.498921,75127619.12916102,396.00999999999993,19.900003527364003,401.00999675475606,0.38495869886015993,98.01,9900.25,396.00999999999993,1.8627606559340097,156137.4846663696,798365.12376384,1618.7602717924,1603.8895609880997,8.944404922112039,6.9560320520089e-05,168.7588061184,28.019077823025,28.019077823025,0.0465222494346289,0.75280628426481,0.2274850704206025
-19.8,0.6620649388921128,0.33793508166098557,84.38858537827599,31.151151918890893,84.38858537827599,0.6620649388921128,0.7906609012383226,0.37502285935921,1.3517403731496902,259.5559433476,392.04,3294.7599999999998,1989.16,392.04,166.41,153695.3616,153695.3616,614781.4464,161636.16160000002,79659.4176,60254729.561664,60254729.561664,60254729.561664,241018918.246656,542059719.294976,31806802.621504005,107334407.093824,60562512.324864,54322088.603904,72956743.926784,392.04,19.799999178961,397.040016294769,0.22632728213336886,96.04000000000002,9801.0,392.04,1.9460127240193597,153058.0334607424,787582.9442056901,1600.546926730896,1591.2647552355998,8.914297005124,6.967651578451598e-05,168.627937005124,27.965767863289003,27.965767863289003,0.0559337352298596,0.6620649388921128,0.30154276846681005
-19.7,0.5648626357134336,0.4351373704993249,85.53338347747601,32.03163133092036,85.53338347747601,0.5648626357134336,0.8298246918741796,0.9893655044657317,1.7405495875412098,219.217517552016,388.09,3260.4100000000003,1971.36,388.09,165.1225,150613.84809999997,150613.84809999997,602455.3923999999,158475.6481,77779.63209999999,58451728.30912899,58451728.30912899,58451728.30912899,233806913.23651597,525836264.45439994,30749609.024289,104413920.565969,58753344.095329,52668156.54208901,70838364.40180899,388.09,19.699998187024004,393.09002294400403,0.1001317547534404,94.08999999999999,9702.25,388.09,1.99154979123984,150031.06710163358,776919.4795297295,1582.113231469369,1578.458915070976,8.884087834789689,6.979297509996099e-05,168.49645664254226,27.912240279052963,27.912240279052963,0.061448207698500096,0.5648626357134336,0.37557274303201
-19.6,0.46507435172496,0.53492562727321,86.82579489729599,32.84878548099599,86.82579489729599,0.46507435172496,0.8656930997316901,0.59962675012249,2.1397028016472897,178.66297472116898,384.1600000000001,3226.24,1953.6400000000003,384.1600000000001,163.84000000000003,147578.90560000003,147578.90560000003,590315.6224000001,155362.1056,75933.3136,56693912.375296004,56693912.375296004,56693912.375296004,226775649.50118402,510019305.130449,29721861.554176,101559956.668416,56989454.34649601,51056398.181376,68771460.63673599,384.1600000000001,19.600002441721003,389.16001312532103,0.021620173444,92.16,9604.0,384.1600000000001,1.9975573744900899,147055.39949268088,766375.2336979599,1563.4890993604,1565.4440625702493,8.85377699558209,6.990973232961601e-05,168.36437878089998,27.858497953224997,27.858497953224997,0.062195047893422506,0.46507435172496,0.44609294802361005
-19.5,0.3666785220488196,0.633321514225,88.2558786916,33.591471514225,88.2558786916,0.3666785220488196,0.89790747736804,0.0136937225272324,2.5332860569,139.42950163272897,380.25,3192.25,1936.0,380.25,162.5625,144590.0625,144590.0625,578360.25,152295.0625,74120.0625,54980371.265625,54980371.265625,54980371.265625,219921485.0625,494600920.140625,28722900.390625,98771297.640625,55269931.640625,49485948.890625,66755027.640625,380.25,19.499996174399996,385.2500225173691,0.0007718170763072159,90.25,9506.25,380.25,1.9637952754830401,144129.9236015809,755950.5363413056,1544.7077296729,1552.1950759806487,8.823361707727361,7.0026787976401e-05,168.231639331396,27.804528999999995,27.804528999999995,0.0580563434973456,0.3666785220488196,0.51041608324281
-19.4,0.2735977788230625,0.72640216463929,89.812278040356,34.24932750555625,89.812278040356,0.2735977788230625,0.9261461045155226,0.3481567957164969,2.90560865855716,102.97126917057598,376.35999999999996,3158.4400000000005,1918.4399999999998,376.35999999999996,161.29,141646.84960000002,141646.84960000002,566587.3984000001,149274.0496,72339.48159999998,53310208.315456,53310208.315456,53310208.315456,213240833.261824,479572858.3191039,27752076.864576004,96046742.51833598,53593878.37465599,47955957.400576,64788075.202816,376.35999999999996,19.399999038849003,381.35996883359996,0.0413457118986025,88.36000000000001,9409.0,376.35999999999996,1.8916099032356097,141253.4054685636,745645.54795929,1525.8031259409,1538.6906084656089,8.79284455758361,7.014414254409999e-05,168.098303964529,27.750327908164003,27.750327908164003,0.0496855066740516,0.2735977788230625,0.5666948166348225
-19.3,0.1895429879806225,0.8104569584296689,91.482223553956,34.81299726451601,91.482223553956,0.1895429879806225,0.9501269572495936,0.9560249036628675,3.24182797775929,70.602880112704,372.49,3124.81,1900.96,372.49,160.0225,138748.8001,138748.8001,554995.2004,146298.6001,70591.1761,51682540.54924899,51682540.54924899,51682540.54924899,206730162.19699597,464927261.35758394,26808753.332088996,93385106.97840899,51960410.639449,46465585.665489,62869627.74736901,372.49,19.300000638787562,377.490004526404,0.1406937383978896,86.49000000000001,9312.25,372.49,1.78387864740864,138424.64770443688,735460.09354609,1506.812591123856,1524.9122625156251,8.762222795067041,7.026177977289999e-05,167.964321611025,27.695906036100002,27.695906036100002,0.0384041115599089,0.1895429879806225,0.61384827513409
-19.2,0.11786513429460642,0.882134903422937,93.25156518922499,35.27433895977616,93.25156518922499,0.11786513429460642,0.9696101816313796,0.7725560381957889,3.5285394634164904,43.44980621762089,368.64,3091.36,1883.56,368.64,158.76,135895.4496,135895.4496,543581.7984,143368.24959999998,68874.7536,50096498.540543996,50096498.540543996,50096498.540543996,200385994.16217598,450656175.224896,25892303.048704002,90785223.18438402,50368658.079743996,45014008.725503996,60998724.188223995,368.64,19.200001226536358,373.6400082529,0.29032688463601003,84.63999999999999,9216.0,368.64,1.6448967957460898,135642.45923089,725394.2527206399,1487.7729551556001,1510.8465815521001,8.731494881046089,7.037971690464399e-05,167.8296931081,27.641257881021158,27.641257881021158,0.025993239441156096,0.11786513429460642,0.651407230029881
-19.1,0.06142179068964,0.9385781871260025,95.10474169155601,35.62660328400625,95.10474169155601,0.06142179068964,0.9844013089,0.14122027362697961,3.75431274850401,22.407286112322247,364.81000000000006,3058.0899999999997,1866.2400000000002,364.81000000000006,157.50250000000003,133086.33610000001,133086.33610000001,532345.3444000001,140482.5361,67189.82409999998,48551226.272641,48551226.272641,48551226.272641,194204905.090564,436752025.32376903,25002110.044521004,88245939.63276102,48817763.75484099,43600414.569721,59174417.785081,364.81000000000006,19.10000020381209,369.80997643713596,0.47712727353600004,82.80999999999999,9120.25,364.81000000000006,1.48020485978689,132905.5685038656,715447.3356174399,1468.7226142228892,1496.4829580976038,8.700661657094559,7.049795444563598e-05,167.694419297344,27.586377969256958,27.586377969256958,0.01441229062144,0.06142179068964,0.6793190580422596
